payment_id,requested_at,organization_id,wallet_id,agent_id,agent_type,flow_type,use_case,counterparty_id,counterparty_type,county,town,rail,amount_kes,fee_kes,status,human_approval_required,risk_score,risk_reason,authorization_latency_ms,policy_version,wallet_balance_before_kes,wallet_balance_after_kes,invoice_id,decision_model
APY0000819,2026-05-13 07:08:54,ORG0026,WAL074,AGT0090,logistics_agent,A2B,Clinic supplies,CP0099,Contractor,Nairobi,Westlands,M-Pesa B2C,7977.98,99.57,Completed,False,0.216,none,743,5,98851.72,90774.17,INV-25301,apm-kenya-v1
APY0000820,2026-07-23 09:15:46,ORG0045,WAL035,AGT0183,property_manager_agent,A2A,School fee payment,CP0382,Agent Service,Kisumu,Kondele,Airtel Money,2266.86,11.27,Completed,False,0.247,none,687,4,31258.42,28980.29,INV-72069,apm-kenya-v1
APY0000821,2026-06-10 18:52:15,ORG0095,WAL021,AGT0032,finance_ops_agent,A2B,Tour booking,CP0404,Agent Service,Mombasa,Changamwe,Bank EFT,972.48,21.38,Completed,False,0.158,none,2611,4,106052.42,105058.56,INV-44943,apm-kenya-v2
APY0000822,2026-05-02 16:23:14,ORG0040,WAL032,AGT0199,marketplace_agent,A2A,Market restocking,CP0149,School,Nairobi,Karen,M-Pesa PayBill,851.3,7.62,Completed,False,0.207,none,794,2,88993.71,88134.79,INV-54401,apm-kenya-v2
APY0000823,2026-05-02 06:41:29,ORG0026,WAL053,AGT0076,logistics_agent,A2C,Logistics delivery,CP0202,School,Meru,Timau,PesaLink,3223.03,38.44,Completed,False,0.129,none,2331,4,294984.33,291722.86,INV-40980,apm-kenya-v1
APY0000824,2026-06-07 14:56:48,ORG0071,WAL013,AGT0247,finance_ops_agent,A2B,SME invoice settlement,CP0275,Sacco,Nakuru,Nakuru Town,M-Pesa PayBill,3482.89,43.51,Completed,False,0.288,none,848,1,249282.39,245755.99,INV-28341,apm-kenya-v1
APY0000825,2026-04-09 16:36:13,ORG0180,WAL050,AGT0208,property_manager_agent,A2C,School fee payment,CP0152,Clinic,Nairobi,Westlands,PesaLink,3529.34,68.72,Completed,False,0.205,none,1476,2,144344.34,140746.28,INV-70294,apm-kenya-v1
APY0000826,2026-02-05 16:37:55,ORG0173,WAL058,AGT0115,property_manager_agent,A2C,Property maintenance,CP0014,Consumer,Kajiado,Kiserian,M-Pesa B2C,5214.74,81.06,Completed,False,0.138,none,1355,2,170560.63,165264.83,INV-14307,apm-kenya-v2
APY0000827,2026-01-27 20:06:10,ORG0053,WAL085,AGT0052,logistics_agent,A2B,Logistics delivery,CP0352,Merchant,Mombasa,Nyali,M-Pesa Till,1470.39,20.85,Completed,False,0.137,none,1150,5,116716.47,115225.23,INV-44773,apm-kenya-v2
APY0000828,2026-01-23 16:04:55,ORG0107,WAL072,AGT0207,finance_ops_agent,A2B,Agritech produce purchase,CP0214,Merchant,Kiambu,Ruiru,Bank EFT,1239.63,39.82,Completed,False,0.263,none,690,1,371073.55,369794.1,,rules_engine_only
APY0000829,2026-06-04 04:18:09,ORG0016,WAL049,AGT0247,procurement_agent,A2B,Clinic supplies,CP0041,Clinic,Nairobi,Kilimani,M-Pesa PayBill,3317.76,23.58,Completed,True,0.213,none,639,1,136330.94,132989.6,,rules_engine_only
APY0000830,2026-01-30 08:08:50,ORG0082,WAL039,AGT0039,farm_supply_agent,A2A,Property maintenance,CP0070,School,Uasin Gishu,Burnt Forest,Stablecoin USDC,1859.87,29.53,Completed,False,0.378,none,139,2,364369.19,362479.79,,rules_engine_only
APY0000831,2026-05-02 17:23:31,ORG0013,WAL037,AGT0043,logistics_agent,A2B,SME invoice settlement,CP0039,Contractor,Kiambu,Limuru,M-Pesa B2C,13658.26,136.43,Completed,False,0.092,none,772,3,286894.73,273100.04,INV-88225,apm-kenya-v2
APY0000832,2026-06-19 12:42:11,ORG0071,WAL079,AGT0184,marketplace_agent,A2B,Clinic supplies,CP0267,Agent Service,Kiambu,Limuru,M-Pesa PayBill,19449.72,39.53,Completed,False,0.225,none,787,5,215027.61,195538.36,INV-84738,rules_engine_only
APY0000833,2026-06-03 09:03:01,ORG0094,WAL052,AGT0005,marketplace_agent,A2B,Clinic supplies,CP0014,Merchant,Kiambu,Kikuyu,Stablecoin USDC,12438.33,125.35,Completed,False,0.349,none,41,1,111006.32,98442.64,INV-95709,apm-kenya-v2
APY0000834,2026-03-12 07:14:00,ORG0035,WAL063,AGT0242,marketplace_agent,A2B,School fee payment,CP0275,Contractor,Kilifi,Kilifi Town,Bank EFT,700.13,25.14,Flagged,True,0.474,high_velocity,1865,2,64880.25,64880.25,INV-24591,apm-kenya-v1
APY0000835,2026-02-01 10:50:42,ORG0069,WAL071,AGT0060,property_manager_agent,A2B,Market restocking,CP0232,Consumer,Nairobi,Kilimani,M-Pesa B2C,3296.9,34.87,Completed,False,0.139,none,739,1,246082.42,242750.65,INV-42279,apm-kenya-v1
APY0000836,2026-03-30 15:52:54,ORG0062,WAL068,AGT0009,farm_supply_agent,A2B,Tour booking,CP0015,Merchant,Nyeri,Othaya,Stablecoin USDC,890.02,10.21,Completed,False,0.131,none,78,1,59774.04,58873.81,,apm-kenya-v2
APY0000837,2026-01-27 15:58:55,ORG0022,WAL023,AGT0115,procurement_agent,A2B,SME invoice settlement,CP0329,Agent Service,Uasin Gishu,Moi Bridge,Airtel Money,14403.47,204.17,Completed,False,0.264,none,2763,2,208876.36,194268.72,,apm-kenya-v1
APY0000838,2026-05-08 21:35:41,ORG0153,WAL052,AGT0170,finance_ops_agent,A2A,Logistics delivery,CP0295,Consumer,Uasin Gishu,Eldoret,M-Pesa Till,3374.15,14.63,Failed,False,0.224,new_counterparty,1188,3,15358.91,15358.91,,rules_engine_only
APY0000839,2026-07-20 11:36:19,ORG0116,WAL030,AGT0228,procurement_agent,A2B,Agritech produce purchase,CP0388,Merchant,Uasin Gishu,Eldoret,M-Pesa B2C,3261.27,22.07,Completed,False,0.141,none,1233,4,116613.68,113330.34,INV-68216,apm-kenya-v1
APY0000840,2026-04-17 07:14:26,ORG0047,WAL064,AGT0005,finance_ops_agent,A2B,Construction contractor,CP0166,Consumer,Uasin Gishu,Eldoret,M-Pesa B2C,4279.06,21.87,Completed,False,0.226,none,637,2,323055.87,318754.94,INV-28459,apm-kenya-v2
APY0000841,2026-03-06 08:19:32,ORG0145,WAL064,AGT0084,logistics_agent,A2B,Tour booking,CP0415,Contractor,Nairobi,Westlands,PesaLink,1232.02,27.21,Failed,False,0.256,duplicate_request,2553,3,157741.22,157741.22,INV-41347,apm-kenya-v1
APY0000842,2026-07-15 09:42:09,ORG0024,WAL077,AGT0249,logistics_agent,A2A,Agritech produce purchase,CP0227,Contractor,Kisumu,Kondele,M-Pesa PayBill,1816.95,27.19,Completed,False,0.116,none,774,5,71593.34,69749.2,INV-27173,rules_engine_only
APY0000843,2026-01-07 10:26:29,ORG0137,WAL039,AGT0184,procurement_agent,A2C,Clinic supplies,CP0400,Contractor,Nakuru,Naivasha,Airtel Money,20458.0,109.63,Completed,False,0.441,none,2755,2,375672.21,355104.58,INV-22480,apm-kenya-v1
APY0000844,2026-06-21 14:06:36,ORG0097,WAL044,AGT0144,travel_agent,A2B,Freelance data labelling,CP0367,Agent Service,Nairobi,Kilimani,M-Pesa B2C,3451.2,10.31,Completed,True,0.203,none,384,1,289997.23,286535.72,INV-58295,apm-kenya-v1
APY0000845,2026-04-01 21:19:00,ORG0074,WAL057,AGT0061,finance_ops_agent,A2C,Market restocking,CP0126,Consumer,Machakos,Mlolongo,M-Pesa B2C,852.77,11.62,Completed,False,0.183,none,1087,3,183135.78,182271.39,INV-90514,apm-kenya-v2
APY0000846,2026-06-29 19:58:05,ORG0015,WAL071,AGT0031,property_manager_agent,A2B,School fee payment,CP0209,Contractor,Uasin Gishu,Moi Bridge,PesaLink,2177.34,45.31,Completed,False,0.029,none,1738,2,268250.54,266027.89,INV-24926,apm-kenya-v2
APY0000847,2026-04-11 13:35:43,ORG0095,WAL066,AGT0255,procurement_agent,A2B,Tour booking,CP0213,Merchant,Nyeri,Nyeri Town,Airtel Money,1800.28,7.95,Completed,False,0.097,none,1634,3,96061.39,94253.16,,rules_engine_only
APY0000848,2026-06-05 10:01:02,ORG0054,WAL079,AGT0133,procurement_agent,A2B,Clinic supplies,CP0065,Agent Service,Nairobi,Kilimani,PesaLink,1956.12,43.72,Completed,False,0.074,none,1424,5,388650.53,386650.69,INV-99523,apm-kenya-v2
APY0000849,2026-05-08 11:36:04,ORG0047,WAL063,AGT0177,property_manager_agent,A2C,Construction contractor,CP0144,Clinic,Meru,Maua,M-Pesa B2C,8036.77,61.48,Completed,False,0.234,none,792,2,133209.84,125111.59,INV-57897,apm-kenya-v1
APY0000850,2026-06-22 11:59:48,ORG0034,WAL075,AGT0197,finance_ops_agent,A2C,Agritech produce purchase,CP0291,Consumer,Kiambu,Limuru,M-Pesa Till,3088.3,14.07,Completed,False,0.184,none,567,1,173334.59,170232.22,INV-98102,apm-kenya-v2
APY0000851,2026-01-14 18:49:08,ORG0002,WAL048,AGT0101,logistics_agent,A2A,Market restocking,CP0096,Agent Service,Machakos,Machakos Town,M-Pesa Till,1793.85,5,Completed,False,0.6,high_velocity,334,4,67464.26,65665.41,INV-97573,rules_engine_only
APY0000852,2026-07-06 15:18:58,ORG0050,WAL032,AGT0080,travel_agent,A2A,Tour booking,CP0228,Merchant,Mombasa,Mtwapa,Bank EFT,3242.78,27.18,Completed,True,0.348,none,2303,5,261591.99,258322.03,INV-45353,apm-kenya-v1
APY0000853,2026-03-23 06:59:25,ORG0133,WAL087,AGT0138,property_manager_agent,A2B,School fee payment,CP0150,Agent Service,Nakuru,Nakuru Town,M-Pesa B2C,4958.2,77.24,Completed,False,0.119,none,1034,3,206318.12,201282.68,,rules_engine_only
APY0000854,2026-05-20 08:48:13,ORG0174,WAL082,AGT0147,marketplace_agent,A2A,School fee payment,CP0130,School,Kiambu,Limuru,M-Pesa B2C,4663.76,82.25,Completed,False,0.148,none,278,2,246569.94,241823.93,INV-58558,apm-kenya-v2
APY0000855,2026-04-18 09:45:53,ORG0013,WAL070,AGT0019,logistics_agent,A2B,Freelance data labelling,CP0111,Consumer,Nairobi,Kilimani,M-Pesa PayBill,7224.03,109.79,Failed,True,0.221,unusual_county,1599,1,381146.86,381146.86,INV-18052,apm-kenya-v1
APY0000856,2026-03-11 09:22:25,ORG0004,WAL082,AGT0163,marketplace_agent,A2B,Logistics delivery,CP0053,Consumer,Kiambu,Kikuyu,Bank EFT,1004.84,21.67,Completed,False,0.127,none,1485,4,369648.01,368621.5,INV-69087,rules_engine_only
APY0000857,2026-05-21 09:05:59,ORG0092,WAL057,AGT0104,travel_agent,A2C,SME invoice settlement,CP0297,Contractor,Kisumu,Milimani,M-Pesa PayBill,12107.63,63.77,Completed,False,0.219,none,788,2,296978.83,284807.43,INV-72454,apm-kenya-v2
APY0000858,2026-01-11 16:55:01,ORG0131,WAL076,AGT0199,marketplace_agent,A2B,Agritech produce purchase,CP0084,Sacco,Mombasa,Likoni,M-Pesa PayBill,3368.37,29.48,Completed,False,0.096,none,542,2,120092.58,116694.73,INV-73173,rules_engine_only
APY0000859,2026-03-27 14:04:43,ORG0144,WAL076,AGT0131,logistics_agent,A2C,School fee payment,CP0416,Merchant,Mombasa,Changamwe,M-Pesa Till,3533.98,53.14,Completed,False,0.103,none,906,3,262466.11,258878.99,,apm-kenya-v2
APY0000860,2026-07-01 06:20:08,ORG0043,WAL072,AGT0241,marketplace_agent,A2C,School fee payment,CP0248,Sacco,Meru,Maua,M-Pesa B2C,536.76,5.09,Completed,False,0.146,none,860,1,319409.67,318867.82,INV-75701,apm-kenya-v1
APY0000861,2026-03-16 07:08:44,ORG0124,WAL085,AGT0241,procurement_agent,A2B,School fee payment,CP0355,Clinic,Machakos,Mlolongo,M-Pesa B2C,2750.25,8.72,Needs Human Approval,False,0.1,mismatched_invoice,1159,5,268263.9,265504.93,,rules_engine_only
APY0000862,2026-07-20 16:27:59,ORG0074,WAL025,AGT0009,finance_ops_agent,A2B,Tour booking,CP0399,Sacco,Nairobi,Karen,M-Pesa B2C,1908.25,14.5,Completed,False,0.532,kyb_pending,408,3,113745.56,111822.81,INV-46903,apm-kenya-v1
APY0000863,2026-02-05 22:24:43,ORG0030,WAL007,AGT0059,procurement_agent,A2A,Freelance data labelling,CP0172,Consumer,Uasin Gishu,Eldoret,M-Pesa B2C,3971.12,13.55,Completed,False,0.323,none,1140,1,202208.29,198223.62,,apm-kenya-v2
APY0000864,2026-01-25 05:25:45,ORG0082,WAL029,AGT0106,logistics_agent,A2B,Property maintenance,CP0148,Agent Service,Kajiado,Kitengela,M-Pesa Till,1448.25,16.15,Completed,False,0.141,none,1024,1,207964.04,206499.64,INV-24129,apm-kenya-v1
APY0000865,2026-03-14 14:30:36,ORG0101,WAL040,AGT0086,travel_agent,A2B,Construction contractor,CP0276,Agent Service,Nairobi,Upper Hill,Stablecoin USDC,16360.68,250.45,Completed,False,0.306,none,74,2,139898.31,123287.18,INV-15163,apm-kenya-v1
APY0000866,2026-07-27 04:56:47,ORG0061,WAL026,AGT0112,marketplace_agent,A2B,School fee payment,CP0164,School,Uasin Gishu,Eldoret,Airtel Money,2537.45,8.57,Completed,False,0.508,limit_exceeded,3147,2,360454.17,357908.15,,rules_engine_only
APY0000867,2026-01-23 19:03:46,ORG0017,WAL036,AGT0093,finance_ops_agent,A2B,Freelance data labelling,CP0172,Sacco,Nairobi,Westlands,M-Pesa Till,1093.06,5,Completed,True,0.387,none,989,1,222064.5,220966.44,INV-40161,rules_engine_only
APY0000868,2026-01-13 19:45:14,ORG0118,WAL039,AGT0235,farm_supply_agent,A2B,Logistics delivery,CP0358,Merchant,Kisumu,Kondele,PesaLink,2224.32,45.32,Flagged,False,0.078,high_velocity,344,3,392743.16,392743.16,,rules_engine_only
APY0000869,2026-02-26 06:53:55,ORG0171,WAL018,AGT0243,marketplace_agent,A2C,Construction contractor,CP0217,Sacco,Kilifi,Malindi,Stablecoin USDC,10756.67,126.99,Completed,False,0.311,none,59,3,246497.61,235613.95,INV-23611,apm-kenya-v2
APY0000870,2026-04-14 17:27:30,ORG0168,WAL012,AGT0083,marketplace_agent,A2B,Tour booking,CP0204,Agent Service,Uasin Gishu,Eldoret,M-Pesa PayBill,13332.92,142.44,Completed,False,0.162,none,904,2,352848.15,339372.79,INV-34127,apm-kenya-v1
APY0000871,2026-04-19 12:28:32,ORG0138,WAL073,AGT0175,finance_ops_agent,A2B,Logistics delivery,CP0055,Agent Service,Kajiado,Kiserian,M-Pesa PayBill,7577.13,37.86,Completed,False,0.221,none,1311,4,62875.83,55260.84,INV-66863,apm-kenya-v2
APY0000872,2026-03-24 21:53:31,ORG0142,WAL062,AGT0036,farm_supply_agent,A2B,Logistics delivery,CP0299,Contractor,Kiambu,Thika,Bank EFT,1553.64,21.72,Completed,True,0.237,none,1257,5,83503.69,81928.33,,apm-kenya-v2
APY0000873,2026-04-01 18:22:51,ORG0164,WAL045,AGT0120,travel_agent,A2B,SME invoice settlement,CP0238,Merchant,Nairobi,Karen,Bank EFT,3089.11,56.38,Completed,False,0.106,none,1811,2,397043.03,393897.54,INV-12361,apm-kenya-v2
APY0000874,2026-02-01 07:56:09,ORG0054,WAL078,AGT0009,marketplace_agent,A2B,Construction contractor,CP0061,Contractor,Mombasa,Nyali,M-Pesa PayBill,7342.5,103.29,Completed,True,0.546,new_counterparty,867,1,257255.29,249809.5,INV-75336,apm-kenya-v2
APY0000875,2026-06-13 08:08:51,ORG0170,WAL051,AGT0209,travel_agent,A2C,School fee payment,CP0306,Clinic,Mombasa,Likoni,M-Pesa B2C,5484.35,42.86,Completed,False,0.118,none,290,4,153316.65,147789.44,INV-59863,apm-kenya-v2
APY0000876,2026-05-19 18:50:13,ORG0130,WAL035,AGT0118,travel_agent,A2B,Clinic supplies,CP0102,Consumer,Kiambu,Kikuyu,M-Pesa B2C,5067.45,44.93,Completed,False,0.241,none,1017,5,316754.07,311641.69,,rules_engine_only
APY0000877,2026-06-11 08:26:53,ORG0169,WAL028,AGT0125,farm_supply_agent,A2C,Agritech produce purchase,CP0333,Sacco,Nakuru,Gilgil,M-Pesa Till,4397.92,34.47,Completed,False,0.081,none,120,4,108210.68,103778.29,,rules_engine_only
APY0000878,2026-06-26 10:34:02,ORG0146,WAL026,AGT0229,property_manager_agent,A2B,Property maintenance,CP0024,Sacco,Kiambu,Kikuyu,M-Pesa PayBill,6019.56,63.28,Completed,False,0.173,none,1044,4,281807.76,275724.92,,rules_engine_only
APY0000879,2026-06-01 10:40:50,ORG0088,WAL027,AGT0072,marketplace_agent,A2A,Property maintenance,CP0117,School,Nyeri,Karatina,M-Pesa PayBill,1035.63,7.89,Needs Human Approval,False,0.29,limit_exceeded,579,3,355040.16,353996.64,,apm-kenya-v2
APY0000880,2026-06-25 15:14:52,ORG0039,WAL034,AGT0195,property_manager_agent,A2A,Clinic supplies,CP0283,Clinic,Nairobi,Industrial Area,M-Pesa B2C,20023.7,85.62,Completed,False,0.155,none,1316,3,179311.14,159201.82,INV-16699,apm-kenya-v2
APY0000881,2026-05-15 11:14:33,ORG0176,WAL041,AGT0017,farm_supply_agent,A2B,Clinic supplies,CP0113,Agent Service,Nairobi,Upper Hill,Stablecoin USDC,2643.02,39.04,Completed,False,0.12,none,42,2,278568.73,275886.67,INV-81279,apm-kenya-v2
APY0000882,2026-01-28 12:12:15,ORG0114,WAL084,AGT0031,marketplace_agent,A2B,Market restocking,CP0201,School,Kiambu,Limuru,Bank EFT,10651.03,103.13,Completed,False,0.097,none,666,2,72315.67,61561.51,INV-66555,rules_engine_only
APY0000883,2026-03-03 02:54:15,ORG0045,WAL013,AGT0118,farm_supply_agent,A2B,SME invoice settlement,CP0390,Clinic,Nyeri,Karatina,M-Pesa PayBill,6122.21,82.02,Completed,False,0.333,none,1159,5,93972.09,87767.86,,rules_engine_only
APY0000884,2026-05-16 20:19:32,ORG0097,WAL057,AGT0033,procurement_agent,A2A,Market restocking,CP0239,Sacco,Mombasa,Nyali,M-Pesa B2C,1195.7,10.06,Completed,False,0.15,none,437,3,82074.09,80868.33,INV-13182,apm-kenya-v2
APY0000885,2026-07-11 09:16:12,ORG0150,WAL088,AGT0240,finance_ops_agent,A2A,Logistics delivery,CP0059,Contractor,Meru,Timau,Airtel Money,429.32,5,Completed,True,0.557,duplicate_request,2979,4,380002.26,379567.94,,apm-kenya-v1
APY0000886,2026-03-28 17:58:28,ORG0174,WAL028,AGT0248,procurement_agent,A2B,School fee payment,CP0236,Clinic,Nairobi,Kilimani,M-Pesa B2C,5292.67,72.5,Completed,False,0.072,none,253,1,179708.29,174343.12,INV-84039,apm-kenya-v2
APY0000887,2026-05-12 15:31:00,ORG0009,WAL079,AGT0159,travel_agent,A2B,Freelance data labelling,CP0110,Consumer,Kiambu,Kikuyu,PesaLink,2194.64,50.79,Completed,False,0.06,none,1900,1,300462.68,298217.25,INV-51446,rules_engine_only
APY0000888,2026-05-09 11:48:25,ORG0063,WAL010,AGT0229,property_manager_agent,A2B,Freelance data labelling,CP0282,Merchant,Nairobi,Westlands,PesaLink,4969.15,82.39,Completed,False,0.268,none,1084,1,269362.01,264310.47,,apm-kenya-v1
APY0000889,2026-03-22 07:15:17,ORG0164,WAL016,AGT0005,property_manager_agent,A2B,Market restocking,CP0211,School,Kiambu,Thika,M-Pesa B2C,980.61,10.54,Completed,False,0.178,none,982,5,96682.81,95691.66,INV-99157,rules_engine_only
APY0000890,2026-01-23 15:44:30,ORG0117,WAL002,AGT0138,finance_ops_agent,A2B,Property maintenance,CP0059,Consumer,Kilifi,Watamu,M-Pesa Till,3118.35,38.57,Completed,True,0.304,none,698,1,179143.63,175986.71,,apm-kenya-v2
APY0000891,2026-06-21 13:38:20,ORG0110,WAL059,AGT0225,marketplace_agent,A2B,Construction contractor,CP0256,Sacco,Nairobi,Kilimani,M-Pesa PayBill,6539.9,80.32,Completed,False,0.217,none,997,1,40516.46,33896.24,INV-98569,apm-kenya-v1
APY0000892,2026-05-09 13:48:09,ORG0074,WAL062,AGT0072,property_manager_agent,A2B,School fee payment,CP0024,Sacco,Kajiado,Kitengela,M-Pesa B2C,11220.43,90.96,Completed,False,0.162,none,972,3,74690.57,63379.18,INV-19023,rules_engine_only
APY0000893,2026-03-19 10:25:56,ORG0108,WAL069,AGT0213,logistics_agent,A2B,Logistics delivery,CP0107,Agent Service,Kiambu,Limuru,M-Pesa B2C,5844.5,20.74,Completed,False,0.33,none,467,1,355998.3,350133.06,,apm-kenya-v2
APY0000894,2026-04-10 10:34:36,ORG0030,WAL077,AGT0248,procurement_agent,A2C,Logistics delivery,CP0339,Agent Service,Kiambu,Limuru,M-Pesa PayBill,20998.81,43.0,Flagged,False,0.455,unusual_county,856,3,261101.14,261101.14,INV-46721,apm-kenya-v1
APY0000895,2026-01-17 05:16:03,ORG0086,WAL062,AGT0130,farm_supply_agent,A2B,SME invoice settlement,CP0347,School,Kiambu,Ruiru,M-Pesa Till,2464.55,9.82,Reversed,False,0.05,unusual_county,1142,4,184797.84,184797.84,,apm-kenya-v1
APY0000896,2026-05-29 14:39:38,ORG0127,WAL010,AGT0161,marketplace_agent,A2C,Market restocking,CP0109,Clinic,Nairobi,Kilimani,M-Pesa B2C,1524.31,23.87,Reversed,False,0.305,limit_exceeded,1161,2,256418.6,256418.6,INV-63468,apm-kenya-v2
APY0000897,2026-02-21 17:10:38,ORG0177,WAL068,AGT0028,marketplace_agent,A2A,Tour booking,CP0364,School,Kiambu,Kikuyu,Bank EFT,10688.78,57.05,Completed,False,0.149,none,180,2,240091.2,229345.37,INV-24919,apm-kenya-v1
APY0000898,2026-07-15 08:52:00,ORG0155,WAL089,AGT0084,finance_ops_agent,A2C,Clinic supplies,CP0029,Consumer,Nakuru,Gilgil,M-Pesa B2C,8564.81,127.1,Completed,False,0.298,none,767,3,104642.32,95950.41,INV-53634,apm-kenya-v2
APY0000899,2026-05-09 09:44:26,ORG0070,WAL057,AGT0095,logistics_agent,A2A,Freelance data labelling,CP0036,School,Meru,Meru Town,M-Pesa Till,4928.02,76.93,Needs Human Approval,False,0.159,mismatched_invoice,558,1,335114.47,330109.52,INV-43300,apm-kenya-v1
APY0000900,2026-05-07 18:57:11,ORG0100,WAL041,AGT0125,procurement_agent,A2A,Market restocking,CP0112,Clinic,Meru,Meru Town,PesaLink,2628.37,52.54,Completed,False,0.096,none,976,4,312632.54,309951.63,INV-78329,apm-kenya-v1
APY0000901,2026-06-19 16:49:39,ORG0124,WAL059,AGT0097,logistics_agent,A2B,Agritech produce purchase,CP0326,Sacco,Nairobi,Karen,M-Pesa PayBill,6657.16,27.76,Completed,False,0.25,none,1178,1,312795.93,306111.01,INV-76613,apm-kenya-v1
APY0000902,2026-01-17 06:13:13,ORG0059,WAL068,AGT0211,travel_agent,A2B,School fee payment,CP0416,Contractor,Kakamega,Mumias,M-Pesa Till,2885.81,27.88,Completed,True,0.396,none,943,2,325657.45,322743.76,,rules_engine_only
APY0000903,2026-04-22 10:57:00,ORG0179,WAL001,AGT0211,logistics_agent,A2B,Agritech produce purchase,CP0308,Sacco,Nairobi,Karen,M-Pesa PayBill,500.39,5.43,Completed,False,0.186,none,1188,1,129983.63,129477.81,INV-77469,apm-kenya-v2
APY0000904,2026-04-20 15:21:26,ORG0163,WAL088,AGT0092,marketplace_agent,A2B,Freelance data labelling,CP0320,Clinic,Kilifi,Malindi,M-Pesa PayBill,2040.35,24.35,Completed,False,0.033,none,806,1,31762.99,29698.29,INV-19253,apm-kenya-v1
APY0000905,2026-01-07 15:20:24,ORG0089,WAL073,AGT0197,procurement_agent,A2B,Freelance data labelling,CP0120,School,Mombasa,Changamwe,M-Pesa Till,951.89,5,Completed,False,0.261,none,812,3,100367.99,99411.1,INV-18575,apm-kenya-v1
APY0000906,2026-06-10 17:50:48,ORG0138,WAL067,AGT0122,logistics_agent,A2A,Logistics delivery,CP0310,Contractor,Nairobi,Westlands,PesaLink,2105.46,43.47,Completed,False,0.118,none,1831,4,99728.14,97579.21,INV-79050,rules_engine_only
APY0000907,2026-04-08 12:39:16,ORG0144,WAL021,AGT0192,finance_ops_agent,A2B,Clinic supplies,CP0325,Consumer,Machakos,Mlolongo,Bank EFT,4199.33,52.18,Completed,False,0.092,none,1842,4,362333.84,358082.33,,apm-kenya-v2
APY0000908,2026-01-03 09:27:51,ORG0073,WAL036,AGT0206,travel_agent,A2B,Logistics delivery,CP0379,Agent Service,Meru,Maua,M-Pesa PayBill,2622.4,24.46,Completed,True,0.547,duplicate_request,1038,5,294593.08,291946.22,,apm-kenya-v1
APY0000909,2026-04-21 12:34:39,ORG0067,WAL068,AGT0230,procurement_agent,A2B,SME invoice settlement,CP0408,Consumer,Kisumu,Kondele,M-Pesa Till,31712.68,503.11,Completed,False,0.039,none,497,4,381045.14,348829.35,INV-56988,apm-kenya-v1
APY0000910,2026-04-18 12:20:00,ORG0166,WAL003,AGT0210,farm_supply_agent,A2B,Construction contractor,CP0172,Sacco,Uasin Gishu,Eldoret,M-Pesa PayBill,7210.65,97.86,Flagged,False,0.255,mismatched_invoice,1020,5,314800.54,314800.54,,apm-kenya-v2
APY0000911,2026-02-28 13:19:02,ORG0083,WAL069,AGT0220,travel_agent,A2C,Construction contractor,CP0362,Contractor,Nairobi,Upper Hill,M-Pesa PayBill,6588.65,108.0,Flagged,False,0.05,unusual_county,1159,4,399606.86,399606.86,,apm-kenya-v1
APY0000912,2026-03-19 13:50:04,ORG0167,WAL079,AGT0151,travel_agent,A2B,Agritech produce purchase,CP0107,School,Kisumu,Milimani,M-Pesa Till,5226.98,57.23,Completed,False,0.061,none,1227,3,10598.18,5313.97,INV-74189,apm-kenya-v1
APY0000913,2026-04-28 10:24:48,ORG0138,WAL014,AGT0078,property_manager_agent,A2B,School fee payment,CP0037,Contractor,Nakuru,Naivasha,M-Pesa B2C,1762.12,11.45,Completed,False,0.109,none,1010,3,272963.44,271189.87,INV-65270,apm-kenya-v1
APY0000914,2026-01-23 13:53:47,ORG0126,WAL078,AGT0254,farm_supply_agent,A2C,SME invoice settlement,CP0417,Clinic,Meru,Maua,Bank EFT,1006.12,34.28,Completed,False,0.111,none,2184,3,203400.19,202359.79,INV-99671,rules_engine_only
APY0000915,2026-03-15 15:18:53,ORG0006,WAL020,AGT0182,procurement_agent,A2B,Clinic supplies,CP0246,Consumer,Nakuru,Gilgil,Bank EFT,5064.12,95.04,Completed,True,0.528,limit_exceeded,2531,5,174287.67,169128.51,INV-36177,apm-kenya-v2
APY0000916,2026-03-18 06:20:48,ORG0088,WAL034,AGT0171,travel_agent,A2A,Logistics delivery,CP0126,Sacco,Nakuru,Naivasha,M-Pesa B2C,5106.21,62.77,Completed,False,0.39,none,1554,4,214880.16,209711.18,INV-54820,apm-kenya-v2
APY0000917,2026-02-16 19:55:43,ORG0081,WAL052,AGT0053,travel_agent,A2B,Property maintenance,CP0042,Consumer,Nairobi,Industrial Area,Airtel Money,7912.51,111.21,Completed,False,0.145,none,2249,5,43837.82,35814.1,INV-68696,rules_engine_only
APY0000918,2026-07-21 19:25:27,ORG0158,WAL019,AGT0069,logistics_agent,A2B,School fee payment,CP0009,Agent Service,Nairobi,Upper Hill,Stablecoin USDC,3160.58,26.97,Completed,False,0.271,none,80,3,298745.89,295558.34,,rules_engine_only
APY0000919,2026-05-31 11:33:41,ORG0018,WAL046,AGT0199,marketplace_agent,A2A,Logistics delivery,CP0111,Merchant,Kisumu,Kondele,PesaLink,5024.73,101.07,Completed,False,0.295,none,2228,3,351511.53,346385.73,INV-69122,apm-kenya-v1
